laya-typed-decisions ordinary cpu_ne 64 load 8.7s ops ane=1084 gpu=0 cpu=42 | cost ane=0.735 gpu=0.000 cpu=0.265 | transitions=6
laya-typed-decisions ordinary cpu_ne 96 load 7.9s ops ane=1084 gpu=0 cpu=42 | cost ane=0.809 gpu=0.000 cpu=0.191 | transitions=6
laya-typed-decisions ordinary cpu_ne 128 load 8.2s ops ane=1084 gpu=0 cpu=42 | cost ane=0.844 gpu=0.000 cpu=0.156 | transitions=6
laya-typed-decisions ordinary cpu_ne 256 load 9.4s ops ane=1084 gpu=0 cpu=42 | cost ane=0.915 gpu=0.000 cpu=0.085 | transitions=6
laya-typed-decisions ordinary cpu_ne 512 load 9.7s ops ane=1084 gpu=0 cpu=42 | cost ane=0.937 gpu=0.000 cpu=0.063 | transitions=6
laya-typed-decisions ordinary cpu_ne 1024 load 44.0s ops ane=0 gpu=0 cpu=1093 | cost ane=0.000 gpu=0.000 cpu=0.000 | transitions=0
E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.
laya-typed-decisions ordinary all 64 load 8.5s ops ane=1076 gpu=37 cpu=13 | cost ane=0.732 gpu=0.002 cpu=0.267 | transitions=4
laya-typed-decisions ordinary all 96 load 8.0s ops ane=1076 gpu=37 cpu=13 | cost ane=0.807 gpu=0.001 cpu=0.191 | transitions=4
laya-typed-decisions ordinary all 128 load 8.1s ops ane=1076 gpu=37 cpu=13 | cost ane=0.843 gpu=0.001 cpu=0.156 | transitions=4
laya-typed-decisions ordinary all 256 load 40.2s ops ane=0 gpu=1057 cpu=36 | cost ane=0.000 gpu=0.000 cpu=0.000 | transitions=3
laya-typed-decisions ordinary all 512 load 42.5s ops ane=0 gpu=1057 cpu=36 | cost ane=0.000 gpu=0.000 cpu=0.000 | transitions=3
laya-typed-decisions ordinary all 1024 load 45.1s ops ane=0 gpu=1063 cpu=30 | cost ane=0.000 gpu=0.000 cpu=0.000 | transitions=5
E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.E5RT encountered an STL exception. msg = MILCompilerForANE error: failed to compile ANE model using ANEF. Error=_ANECompiler : ANECCompile() FAILED.
laya-typed-decisions ane all 64 load 39.3s ops ane=10594 gpu=0 cpu=0 | cost ane=1.000 gpu=0.000 cpu=0.000 | transitions=0
laya-typed-decisions ane all 96 load 39.6s ops ane=10594 gpu=0 cpu=0 | cost ane=1.000 gpu=0.000 cpu=0.000 | transitions=0
